Objetivo ODS,Titulo 1,Titulo 2,Titulo 3
8 . 1 Mantener el crecimiento económico per capita de conformidad con las circunstancias nacionales y en particular un crecimiento del producto interno bruto de al menos el 7 % anual en los países menos adelantados,Association between economic growth and injury mortality among seniors in Colombia,High-Growth Aspirations of Entrepreneurs in Latin America: Do Alliances Matter?,"Social policy and economic growth in six latin american countries, 1980-2010 [Política social e crescimento econômico em seis países latino-americanos, 1980-2010] [Política social y crecimiento económico en seis países latinoamericanos, 1980-2010]"
8 . 2 Lograr niveles más elevados de productividad económica mediante la diversificación la modernización tecnológica y la innovación entre otras cosas centrándose en los sectores con gran valor añadido y un uso intensivo de la mano de obra,Knowledge Management as a Tool for the Productive Transformation of a Region in a Developing Country,The Effect of Cultural Orientations on Country Innovation Performance: Hofstede Cultural Dimensions Revisited?,Trajectories of innovation: A new approach to studying innovation performance
8 . 3 Promover políticas orientadas al desarrollo que apoyen las actividades productivas la creación de puestos de trabajo decentes el emprendimiento la creatividad y la innovación y fomentar la formalización y el crecimiento de las microempresas y las pequeñas y medianas empresas incluso mediante el acceso a servicios financieros,"Age, labour market situation and the choice of risky innovative entrepreneurship",The Effect of Cultural Orientations on Country Innovation Performance: Hofstede Cultural Dimensions Revisited?,"A comprehensive and critical view of conceptual models for access to health services, 1970-2013"
8 . 4 Mejorar progresivamente de aquí a 2030 la producción y el consumo eficientes de los recursos mundiales y procurar desvincular el crecimiento económico de la degradación del medio ambiente conforme al Marco Decenal de Programas sobre Modalidades de Consumo y Producción Sostenibles empezando por los países desarrollados,Conspicuous Consumption in Emerging Markets: The Case of Starbucks in Colombia as a Global and Sustainable Brand,"Increasing world consumption of beef as a driver of regional and global change: A call for policy action based on evidence from Queensland (Australia), Colombia and Brazil",Socially responsible consumption: an application in Colombia
8 . 5 De aquí a 2030 lograr el empleo pleno y productivo y el trabajo decente para todas las mujeres y los hombres incluidos los jóvenes y las personas con discapacidad así como la igualdad de remuneración por trabajo de igual valor,Site-diluted quantum Heisenberg spin model applied to the magnetic properties of Fe-Al disordered alloys,Regional variations of the impact of role models and fear of failure on entrepreneurship amongst the youth,Women experience more pain and require more morphine than men to achieve a similar degree of analgesia
8 . 6 De aquí a 2020 reducir considerablemente la proporción de jóvenes que no están empleados y no cursan estudios ni reciben capacitación,The effectiveness of virtual safety training in work at heights: A literature review,Regional variations of the impact of role models and fear of failure on entrepreneurship amongst the youth,"Characterization of the training and the formation received by students - Workers enrolled in programs of higher education in the city of Medellin [Caracterización de la capacitación y la formación, recibida por los estudiantes - Trabajadores matriculados en programas de educación superior en la ciudad de Medellín]"
8 . 7 Adoptar medidas inmediatas y eficaces para erradicar el trabajo forzoso poner fin a las formas contemporáneas de esclavitud y la trata de personas y asegurar la prohibición y eliminación de las peores formas de trabajo infantil incluidos el reclutamiento y la utilización de niños soldados y de aquí a 2025 poner fin al trabajo infantil en todas sus formas,Análisis económico de la diferencia en la probabilidad de trabajo infantil entre afrocolombianos y no afrocolombianos,Can Benefits from Malaria Eradication Be Increased? Evidence from Costa Rica,Contributions by the international labor organization to the working context of the HIV/AIDS people [Aportes de la organización internacional del trabajo al mundo laboral de las personas con VIH/sida]
8 . 8 Proteger los derechos laborales y promover un entorno de trabajo seguro y sin riesgos para todos los trabajadores incluidos los trabajadores migrantes en particular las mujeres migrantes y las personas con empleos precarios,Recommendations for the response against COVID-19 in migratory contexts under a closed border: The case of Colombia,Transformations in Workers' Subjectivities: Cases from Recovered Colombian Companies,Technolegal Expulsions: Platform Food Delivery Workers and Work Regulations in Colombia
8 . 9 De aquí a 2030 elaborar y poner en práctica políticas encaminadas a promover un turismo sostenible que cree puestos de trabajo y promueva la cultura y los productos locales,LOCAL DEVELOPMENT AND SUPPORT ORGANIZATIONS; DIFFERENT STRATEGIES TO TACKLE DEVELOPMENT: A COLOMBIA CASE,BETWEEN REAL AND IDEAL: DO THE APROACHES PROPOSED BY THE ONU ON SUSTAINABLE TOURISM CONTRIBUTE TO RURAL TERRITORIAL DEVELOPMENT?,Importance of work characteristics affects job performance: The mediating role of individual dispositions on the work design-performance relationships
8 . 10 Fortalecer la capacidad de las instituciones financieras nacionales para fomentar y ampliar el acceso a los servicios bancarios financieros y de seguros para todos,Enhancing customer knowledge: the role of banks in financial well-being,"The Dark Side of Implementing Basel Capital Requirements: Theory, Evidence, and Policy",Effect of trading on the profitability and solvency of colombian banks
8 . a Aumentar el apoyo a la iniciativa de ayuda para el comercio en los países en desarrollo en particular los países menos adelantados incluso mediante el Marco Integrado Mejorado para la Asistencia Técnica a los Países Menos Adelantados en Materia de Comercio,Deep Integration: Considering the Heterogeneity of Free Trade Agreements,"Colombian Leather, Footwear and Leather Goods Sector: an analysis of commercial dynamics and comparative advantages over Venezuela (1995-2017)",Colombia’s potential for trade with the European Union and other major global markets [El potencial de colombia para el comercio con la unión europea y otros grandes mercados mundiales]
"8 . b De aquí a 2020 desarrollar y poner en marcha una estrategia mundial para el empleo de los jóvenes y aplicar el Pacto Mundial para el Empleo de la Organización Internacional del Trabajo ""; Objetivo 9 ;"" Objetivo 9 .",Job stress in the labor market: An application of the fuzzy set measurement method for the Colombian case [Le stress au travail: Une application de la méthode de mesure des ensembles flous pour le cas colombien] [Estrés laboral en el mercado laboral: Una aplicación de metodologías de medición difusa para el caso colombiano],Contributions by the international labor organization to the working context of the HIV/AIDS people [Aportes de la organización internacional del trabajo al mundo laboral de las personas con VIH/sida],Born global: the influence of international orientation on export performance
9 . 1 Desarrollar infraestructuras fiables sostenibles resilientes y de calidad incluidas infraestructuras regionales y transfronterizas para apoyar el desarrollo económico y el bienestar humano haciendo especial hincapié en el acceso asequible y equitativo para todos,Development and instrumentation of a framework for the generation and management of self-adaptive enterprise applications [Desarrollo e instrumentación de un marco de trabajo para generar y gestionar aplicaciones empresariales autoadaptativas],Sewer asset management - state of the art and research needs,Dimensions of local development in the Colombian Pacific Region
9 . 2 Promover una industrialización inclusiva y sostenible y de aquí a 2030 aumentar significativamente la contribución de la industria al empleo y al producto interno bruto de acuerdo con las circunstancias nacionales y duplicar esa contribución en los países menos adelantados,"Does industrial employment react to movements in the real exchange rate? An empirical analysis for Colombia, 2000-2010",Methodology for the Retrofitting of Manufacturing Resources for Migration of SME Towards Industry 4.0,Maintenance Management of an Additive Manufacturing System Based on the I4.0 Model
9 . 3 Aumentar el acceso de las pequeñas industrias y otras empresas particularmente en los países en desarrollo a los servicios financieros incluidos créditos asequibles y su integración en las cadenas de valor y los mercados,The new financial framework for the Cuban non-state sector,Resiliency of businesses during 2010 maule earthquake: An investigation of the 2017 LFE study Program,Methodology for the Retrofitting of Manufacturing Resources for Migration of SME Towards Industry 4.0
9 . 4 De aquí a 2030 modernizar la infraestructura y reconvertir las industrias para que sean sostenibles utilizando los recursos con mayor eficacia y promoviendo la adopción de tecnologías y procesos industriales limpios y ambientalmente racionales y logrando que todos los países tomen medidas de acuerdo con sus capacidades respectivas,Methodology for the Retrofitting of Manufacturing Resources for Migration of SME Towards Industry 4.0,Maintenance Management of an Additive Manufacturing System Based on the I4.0 Model,A Novel Single-Inductor Bipolar-Output DC/DC Boost Converter for OLED Microdisplays
9 . 5 Aumentar la investigación científica y mejorar la capacidad tecnológica de los sectores industriales de todos los países en particular los países en desarrollo entre otras cosas fomentando la innovación y aumentando considerablemente de aquí a,SCIENTIFIC CAPACITY AND INDUSTRIAL DEVELOPMENT AS LOCOMOTORS OF INTERNATIONAL COMPETITIVENESS IN LATIN AMERICA,Funding of pilot projects in Latin America: A tool for capacity building in Occupational Health Research,Knowledge Management as a Tool for the Productive Transformation of a Region in a Developing Country
2030 el número de personas que trabajan en investigación y desarrollo por millón de habitantes y los gastos de los sectores público y privado en investigación y desarrollo,Funding of pilot projects in Latin America: A tool for capacity building in Occupational Health Research,Ethical Challenges of the Socio-Juridical Research: Review from Good Practices in Published Articles,Current status of the rheumatologists' workforce in Latin America: a PANLAR collaborative study
9 . a Facilitar el desarrollo de infraestructuras sostenibles y resilientes en los países en desarrollo mediante un mayor apoyo financiero tecnológico y técnico a los países africanos los países menos adelantados los países en desarrollo sin litoral y los pequeños Estados insulares en desarrollo,Funding of pilot projects in Latin America: A tool for capacity building in Occupational Health Research,"Physician migration: views from professionals in Colombia, Nigeria, India, Pakistan and the Philippines",Scientific production in latin american psychology: an analysis of research in different countries
9 . b Apoyar el desarrollo de tecnologías la investigación y la innovación nacionales en los países en desarrollo incluso garantizando un entorno normativo propicio a la diversificación industrial y la adición de valor a los productos básicos entre otras cosas,LIGHTS AND SHADOWS OF THE RELATIONSHIP BETWEEN INDUSTRIAL DESIGN AND INNOVATION,Knowledge Management as a Tool for the Productive Transformation of a Region in a Developing Country,Funding of pilot projects in Latin America: A tool for capacity building in Occupational Health Research
"9 . c Aumentar significativamente el acceso a la tecnología de la información y las comunicaciones y esforzarse por proporcionar acceso universal y asequible a Internet en los países menos adelantados de aquí a 2020 ""; Objetivo 10 ;"" Objetivo 10 .",A virtual educational strategy on telemedicine and medical simulation,"Habitat and Childhood, Pending Rights and Inequities in Latin America",Digital libraries in action: The Latin American and Caribbean experience
10 . 1 De aquí a 2030 lograr progresivamente y mantener el crecimiento de los ingresos del 40 % más pobre de la población a una tasa superior a la media nacional,"Whale-Watching Management: Assessment of Sustainable Governance in Uramba Bahia Malaga National Natural Park, Valle del Cauca",Comparative genetic structure between tropical Colombian and North American Drosophila pseudoobscura populations,International collaborative research: A Colombian model that promotes infant health and research capacity
10 . 2 De aquí a 2030 potenciar y promover la inclusión social económica y política de todas las personas independientemente de su edad sexo discapacidad raza etnia origen religión o situación económica u otra condición,Political horizon of religion,Fifty years of cultural economics. Exploring the historical roots of economic thought,SOCIAL ANXIETY IN 18 NATIONS: SEX AND AGE DIFFERENCES
10 . 3 Garantizar la igualdad de oportunidades y reducir la desigualdad de resultados incluso eliminando las leyes políticas y prácticas discriminatorias y promoviendo legislaciones políticas y medidas adecuadas a ese respecto,"Examining gender equity in health policies in a low- (Peru), middle- (Colombia), and high- (Canada) income country in the Americas","Ser Pilo Does Not Pay: Privatization, Inequality and Underfunding in Colombian Public University",Views Regarding National Policies about Illicit Drugs: A Pilot Study among People Living in Bogota
10 . 4 Adoptar políticas especialmente fiscales salariales y de protección social y lograr progresivamente una mayor igualdad,Fiscal Policy Effects and Capital Mobility in Latin American Countries,A multi-company empirical evaluation of a framework that evaluates the convenience of adopting product line engineering,"Examining gender equity in health policies in a low- (Peru), middle- (Colombia), and high- (Canada) income country in the Americas"
10 . 5 Mejorar la reglamentación y vigilancia de las instituciones y los mercados financieros mundiales y fortalecer la aplicación de esos reglamentos,The Dawn of the ICO: Implications for the Colombian Market,An experiment on enforcement strategies for managing a local environment resource,Mitochondrial Neuroglobin Is Necessary for Protection Induced by Conditioned Medium from Human Adipose-Derived Mesenchymal Stem Cells in Astrocytic Cells Subjected to Scratch and Metabolic Injury
10 . 6 Asegurar una mayor representación e intervención de los países en desarrollo en las decisiones adoptadas por las instituciones económicas y financieras internacionales para aumentar la eficacia fiabilidad rendición de cuentas y legitimidad de esas instituciones,"Exploring the Relationship between Formal and Informal Institutions, Social Capital, and Entrepreneurial Activity in Developing and Developed Countries",Reconstructive criticism and social ontology: On the emancipatory potential in the ontology of institutions,Digital platforms and institutional voids in developing countries: The case of ride-hailing markets
10 . 7 Facilitar la migración y la movilidad ordenadas seguras regulares y responsables de las personas incluso mediante la aplicación de políticas migratorias planificadas y bien gestionadas,The transition of colombian refugees in ecuador: a new phase of the migration phenomenon,"Physician migration: views from professionals in Colombia, Nigeria, India, Pakistan and the Philippines",The Semiology of Migration [Semiología de la Migración]
10 . a Aplicar el principio del trato especial y diferenciado para los países en desarrollo en particular los países menos adelantados de conformidad con los acuerdos de la Organización Mundial del Comercio,Deep Integration: Considering the Heterogeneity of Free Trade Agreements,Colombia’s potential for trade with the European Union and other major global markets [El potencial de colombia para el comercio con la unión europea y otros grandes mercados mundiales],International Trade and Justice as Synonyms of Well-being The Search of a Balance between Multilateralism and Minilateralism
10 . b Fomentar la asistencia oficial para el desarrollo y las corrientes financieras incluida la inversión extranjera directa para los Estados con mayores necesidades en particular los países menos adelantados los países africanos los pequeños Estados insulares en desarrollo y los países en desarrollo sin litoral en consonancia con sus planes y programas nacionales,Funding of pilot projects in Latin America: A tool for capacity building in Occupational Health Research,Building capacity in health research in the developing world,Human development in the municipalities of the pacific region of colombia [Desarrollo humano en los municipios de la región pacífico de colombia]
"10 . c De aquí a 2030 reducir a menos del 3 % los costos de transacción de las remesas de los migrantes y eliminar los corredores de remesas con un costo superior al 5 % ""; Objetivo 11 ;"" Objetivo 11 .",Costs of occupational cancer: a scoping review,Economic impact of dengue fever in Latin America and the Caribbean: a systematic review,"Transaction costs theory, governance modes and incentives in Colombia: A case study [Teoria de custos de transacção, formas de gestão e os incentivos na Colômbia: um estudo de caso] [Teoría de costos de transacción, formas de gobernación y los incentivos en Colombia: un estudio de caso]"
11 . 1 De aquí a 2030 asegurar el acceso de todas las personas a viviendas y servicios básicos adecuados seguros y asequibles y mejorar los barrios marginales,"Habitat and Childhood, Pending Rights and Inequities in Latin America",Access to preventive services in contributive and subsidized regimes of health in a (slums) stratum two neighborhood of the city of Cali [Acceso a los servicios preventivos en los regímenes contributivo y subsidiado de salud en un barrio estrato dos de la ciudad de Cali],Environmental and cost feasibility analysis when implementing LEED certification: a case study applied to an affordable housing project in Bogota D.C
11 . 2 De aquí a 2030 proporcionar acceso a sistemas de transporte seguros asequibles accesibles y sostenibles para todos y mejorar la seguridad vial en particular mediante la ampliación del transporte público prestando especial atención a las necesidades de las personas en situación de vulnerabilidad las mujeres los niños las personas con discapacidad y las personas de edad,Sociodemographic inequities and active transportation in adults from Latin America: an eight-country observational study,Association between Active Transportation and Public Transport with an Objectively Measured Meeting of Moderate-to-Vigorous Physical Activity and Daily Steps Guidelines in Adults by Sex from Eight Latin American Countries,"Health services accessibility for people with physical disabilities in zarzal (Valle del Cauca, Colombia) [Acceso a servicios de salud de personas en situación de discapacidad física en zarzal (Valle del Cauca, Colombia)]"
11 . 3 De aquí a 2030 aumentar la urbanización inclusiva y sostenible y la capacidad para la planificación y la gestión participativas integradas y sostenibles de los asentamientos humanos en todos los países,From placemaking to sustainability citizenship: An evolution in the understanding of community realised public spaces in Bogota's informal settlements,Embedding environmental sustainability within the modern dental curriculum- Exploring current practice and developing a shared understanding,"A sustainability maturity model for micro, small and medium-sized enterprises (MSMEs) based on a data analytics evaluation approach"
11 . 4 Redoblar los esfuerzos para proteger y salvaguardar el patrimonio cultural y natural del mundo,"The hidden city. Toledo, a transmedia communication laboratory [La ciudad escondida. Toledo, laboratorio de comunicación transmedia]",Challenges and opportunities for the study and management of industrial heritage in Colombia,Natural Resources in South America: An Approach from the Union of South-American Nations
11 . 5 De aquí a 2030 reducir significativamente el número de muertes causadas por los desastres incluidos los relacionados con el agua y de personas afectadas por ellos y reducir considerablemente las pérdidas económicas directas provocadas por los desastres en comparación con el producto interno bruto mundial haciendo especial hincapié en la protección de los pobres y las personas en situaciones de vulnerabilidad,"Does climate change cause disasters? How citizens, academics, and leaders explain climate-related risk and disasters in Latin America and the Caribbean",What We Measure Matters: The Case of the Missing Development Data in Sendai Framework for Disaster Risk Reduction Monitoring,"We said, they said: the politics of conceptual frameworks in disasters and climate change in Colombia and Latin America"
11 . 6 De aquí a 2030 reducir el impacto ambiental negativo per capita de las ciudades incluso prestando especial atención a la calidad del aire y la gestión de los desechos municipales y de otro tipo,Sustainable Diets and Meat Consumption Reduction in Emerging Economies: Evidence from Colombia,A conceptual framework for the eco-efficiency assessment of small-and medium-sized enterprises,Degradation of Chrysanthemum (Dendranthema grandiflora) wastes by Pleurotus ostreatus for the production of reducing sugars
11 . 7 De aquí a 2030 proporcionar acceso universal a zonas verdes y espacios públicos seguros inclusivos y accesibles en particular para las mujeres y los niños las personas de edad y las personas con discapacidad,"Health services accessibility for people with physical disabilities in zarzal (Valle del Cauca, Colombia) [Acceso a servicios de salud de personas en situación de discapacidad física en zarzal (Valle del Cauca, Colombia)]",Quality ofr life and inequitable access to public space in Bogota,"Measurement of coverage and accessibility of public space in Bogota, Medellin and Cali"
11 . a Apoyar los vínculos económicos sociales y ambientales positivos entre las zonas urbanas periurbanas y rurales fortaleciendo la planificación del desarrollo nacional y regional,"ADAPTABILITY OF RURAL DWELLERS AND SETTLEMENTS IN CONURBATION AREAS: THE CASE OF BOGOTA, COLOMBIA","Survey on Health, Well-being and Aging. SABE Colombia 2015: Technical report","Formal institutions, informal institutions and entrepreneurial activity: A comparative relationship between rural and urban areas in Colombia"
11 . b De aquí a 2020 aumentar considerablemente el número de ciudades y asentamientos humanos que adoptan e implementan políticas y planes integrados para promover la inclusión el uso eficiente de los recursos la mitigación del cambio climático y la adaptación a él y la resiliencia ante los desastres y desarrollar y poner en práctica en consonancia con el Marco de Sendai para la Reducción del Riesgo de Desastres 2015 - 2030 la gestión integral de los riesgos de desastre a todos los niveles,"We said, they said: the politics of conceptual frameworks in disasters and climate change in Colombia and Latin America",What We Measure Matters: The Case of the Missing Development Data in Sendai Framework for Disaster Risk Reduction Monitoring,"Does climate change cause disasters? How citizens, academics, and leaders explain climate-related risk and disasters in Latin America and the Caribbean"
"11 . c Proporcionar apoyo a los países menos adelantados incluso mediante asistencia financiera y técnica para que puedan construir edificios sostenibles y resilientes utilizando materiales locales ""; Objetivo 12 ;"" Objetivo 12 .",Resilience processes in women leading community based organizations providing HIV prevention services,Building capacity in health research in the developing world,Case Studies Selection Method: Climate Adaptation of the Modem Movement in the Equatorial Warm Climate
12 . 1 Aplicar el Marco Decenal de Programas sobre Modalidades de Consumo y Producción Sostenibles con la participación de todos los países y bajo el liderazgo de los países desarrollados teniendo en cuenta el grado de desarrollo y las capacidades de los países en desarrollo,Building capacity in health research in the developing world,Scientific production in latin american psychology: an analysis of research in different countries,Conceptualising Digital Platforms in Developing Countries as Socio-Technical Transitions: A Multi-level Perspective Analysis of EasyTaxi in Colombia
12 . 2 De aquí a 2030 lograr la gestión sostenible y el uso eficiente de los recursos naturales,Local perceptions on social-ecological dynamics in Latin America in three community-based natural resource management systems,Adapting prospective structural analysis to strengthen sustainable management and capacity building in community-based natural resource management contexts,"Whale-Watching Management: Assessment of Sustainable Governance in Uramba Bahia Malaga National Natural Park, Valle del Cauca"
12 . 3 De aquí a 2030 reducir a la mitad el desperdicio de alimentos per capita mundial en la venta al por menor y a nivel de los consumidores y reducir las pérdidas de alimentos en las cadenas de producción y suministro incluidas las pérdidas posteriores a la cosecha,Characterization of food security in Colombian families during confinement by COVID-19 [Caracterización de la seguridad alimentaria en familias colombianas durante el confinamiento por COVID-19],Sustainable Diets and Meat Consumption Reduction in Emerging Economies: Evidence from Colombia,Robust design of a closed-loop supply chain under uncertainty conditions integrating financial criteria
12 . 4 De aquí a 2020 lograr la gestión ecológicamente racional de los productos químicos y de todos los desechos a lo largo de su ciclo de vida de conformidad con los marcos internacionales convenidos y reducir significativamente su liberación a la atmósfera el agua y el suelo a fin de minimizar sus efectos adversos en la salud humana y el medio ambiente,Degradation of Chrysanthemum (Dendranthema grandiflora) wastes by Pleurotus ostreatus for the production of reducing sugars,Entre el arte sonoro y la mu'sica: panorama en Colombia,"LIFE, LISTENING AND SOUND CREATION FROM THE ORDINARY SOUND OF BREATHING AND SILENCE AND ITS RELATION TO ART"
12 . 5 De aquí a 2030 reducir considerablemente la generación de desechos mediante actividades de prevención reducción reciclado y reutilización,"Ceramic Waste, the New Material for Asphalt Mixtures",The periodic location-routing with selective recycling problem: Two solution approaches,Mechanical Properties of Concrete Using Recycled Aggregates Obtained from Old Paving Stones
12 . 6 Alentar a las empresas en especial las grandes empresas y las empresas transnacionales a que adopten prácticas sostenibles e incorporen información sobre la sostenibilidad en su ciclo de presentación de informes,Spanish-speaking validation of the internal corporate social responsibility questionnaire,"Corporate, operational, and information systems strategies: Alignment and firm performance",Hofstede's Cultural Dimensions as a Moderator of the Relationship between Ambidextrous Learning and Corporate Sustainability in Born Global Firms
12 . 7 Promover prácticas de adquisición pública que sean sostenibles de conformidad con las políticas y prioridades nacionales,Case study of the procurement based on the abbreviated selection of health services in Colombia [Estudio de caso de la contratación por Selección Abreviada de Servicios de Salud en Colombia],Contributions of Intercultural Socioenvironmental Justice to the 2030 Agenda in the Colombian Caribbean,State of the art of the evaluation of public policy on territorial-environmental planning in Colombia
12 . 8 De aquí a 2030 asegurar que las personas de todo el mundo tengan la información y los conocimientos pertinentes para el desarrollo sostenible y los estilos de vida en armonía con la naturaleza,"Habitat and Childhood, Pending Rights and Inequities in Latin America",Applicability of international sustainability criteria to evaluate the urban design of peripheral districts of formal and informal origin in Bogota,Embedding environmental sustainability within the modern dental curriculum- Exploring current practice and developing a shared understanding
12 . a Ayudar a los países en desarrollo a fortalecer su capacidad científica y tecnológica para avanzar hacia modalidades de consumo y producción más sostenibles,Scientific production in latin american psychology: an analysis of research in different countries,Green marketing innovation: Opportunities from an environmental education analysis in young consumers,"Ecotechnological model, an alternative for sustainable production within the artisan's communities of Galapa and Usiacuri"
12 . b Elaborar y aplicar instrumentos para vigilar los efectos en el desarrollo sostenible a fin de lograr un turismo sostenible que cree puestos de trabajo y promueva la cultura y los productos locales,LOCAL DEVELOPMENT AND SUPPORT ORGANIZATIONS; DIFFERENT STRATEGIES TO TACKLE DEVELOPMENT: A COLOMBIA CASE,Green marketing innovation: Opportunities from an environmental education analysis in young consumers,Dimensions of local development in the Colombian Pacific Region
"12 . c Racionalizar los subsidios ineficientes a los combustibles fósiles que fomentan el consumo antieconómico eliminando las distorsiones del mercado de acuerdo con las circunstancias nacionales incluso mediante la reestructuración de los sistemas tributarios y la eliminación gradual de los subsidios perjudiciales cuando existan para reflejar su impacto ambiental teniendo plenamente en cuenta las necesidades y condiciones específicas de los países en desarrollo y minimizando los posibles efectos adversos en su desarrollo de manera que se proteja a los pobres y a las comunidades afectadas ""; Objetivo 13 ;"" Objetivo 13 .",Impact of policies and subsidies in agribusiness: The case of oil palm and biofuels in Colombia,Does encouraging the use of wetlands in water quality trading programs make economic sense?,"Voting for environmental donations: Experimental evidence from Majorca, Spain"
13 . 1 Fortalecer la resiliencia y la capacidad de adaptación a los riesgos relacionados con el clima y los desastres naturales en todos los países,"We said, they said: the politics of conceptual frameworks in disasters and climate change in Colombia and Latin America",What We Measure Matters: The Case of the Missing Development Data in Sendai Framework for Disaster Risk Reduction Monitoring,"Does climate change cause disasters? How citizens, academics, and leaders explain climate-related risk and disasters in Latin America and the Caribbean"
13 . 2 Incorporar medidas relativas al cambio climático en las políticas estrategias y planes nacionales,Improvement of Hydroclimatic Projections over Southeast Spain by Applying a Novel RCM Ensemble Approach,More than CO2: a broader paradigm for managing climate change and variability to avoid ecosystem collapse,Climate Change and Health Education at Medical Schools in Colombia
13 . 3 Mejorar la educación la sensibilización y la capacidad humana e institucional respecto de la mitigación del cambio climático la adaptación a él la reducción de sus efectos y la alerta temprana,"Designing an Effective Front-of-Package Warning Label for Food and Drinks High in Added Sugar, Sodium, or Saturated Fat in Colombia: An Online Experiment",Ambivalent desires: State formation and dispossession in the face of climate crisis,The climate-smart village approach: framework of an integrative strategy for scaling up adaptation options in agriculture
13 . a Cumplir el compromiso de los países desarrollados que son partes en la Convención Marco de las Naciones Unidas sobre el Cambio Climático de lograr para el año 2020 el objetivo de movilizar conjuntamente 100 . 000 millones de dólares anuales procedentes de todas las fuentes a fin de atender las necesidades de los países en desarrollo respecto de la adopción de medidas concretas de mitigación y la transparencia de su aplicación y poner en pleno funcionamiento el Fondo Verde para el Clima capitalizándolo lo antes posible,Ambivalent desires: State formation and dispossession in the face of climate crisis,Funding of pilot projects in Latin America: A tool for capacity building in Occupational Health Research,Improvement of Hydroclimatic Projections over Southeast Spain by Applying a Novel RCM Ensemble Approach
"13 . b Promover mecanismos para aumentar la capacidad para la planificación y gestión eficaces en relación con el cambio climático en los países menos adelantados y los pequeños Estados insulares en desarrollo haciendo particular hincapié en las mujeres los jóvenes y las comunidades locales y marginadas ""; Objetivo 14 ;"" Objetivo 14 .",LOCAL DEVELOPMENT AND SUPPORT ORGANIZATIONS; DIFFERENT STRATEGIES TO TACKLE DEVELOPMENT: A COLOMBIA CASE,Ambivalent desires: State formation and dispossession in the face of climate crisis,Effect of an Educational Plan on the Self-care Management Capacity of Hypertensive Patients at a Second-tier Institution
14 . 1 De aquí a 2025 prevenir y reducir significativamente la contaminación marina de todo tipo en particular la producida por actividades realizadas en tierra incluidos los detritos marinos y la polución por nutrientes,Mitigation provisions to be implemented for marine seismic surveying in Latin America: a review based on fish and cetaceans,A novel mathematical model for a discrete speed pollution routing problem with time windows in a Colombian context,Optimal Pollution Trading Without Pollution Reductions: A Note
14 . 2 De aquí a 2020 gestionar y proteger sosteniblemente los ecosistemas marinos y costeros para evitar efectos adversos importantes incluso fortaleciendo su resiliencia y adoptar medidas para restaurarlos a fin de restablecer la salud y la productividad de los océanos,Assessing restoration priorities for high-risk ecosystems: An application of the IUCN Red List of Ecosystems,"Alternatives for Recovering the Ecosystem Services and Resilience of the Salamanca Island Natural Park, Colombia",Restoration of riparian forest corridors: eight years monitoring the diversity of soil ants in an Andean rural landscape
14 . 3 Minimizar y abordar los efectos de la acidificación de los océanos incluso mediante una mayor cooperación científica a todos los niveles,Cooperation in Latin America: the scientific psychology network,Cooperation in the Latin American Behavioral Sciences: A Documentary Study,Efficiency and Expense Preference in the Colombian Financial Cooperative Sector
14 . 4 De aquí a 2020 reglamentar eficazmente la explotación pesquera y poner fin a la pesca excesiva la pesca ilegal no declarada y no reglamentada y las prácticas pesqueras destructivas y aplicar planes de gestión con fundamento científico a fin de restablecer las poblaciones de peces en el plazo más breve posible al menos alcanzando niveles que puedan producir el máximo rendimiento sostenible de acuerdo con sus características biológicas,"DNA barcoding, fisheries and communities: What do we have? Science and local knowledge to improve resource management in partnership with communities in the Colombian Caribbean","Protected areas and frugivorous fish in tropical rivers: Small-scale fisheries, conservation and ecosystem services",Opinion Paper: how vulnerable are Amazonian freshwater fishes to ongoing climatechange?
14 . 5 De aquí a 2020 conservar al menos el 10 % de las zonas costeras y marinas de conformidad con las leyes nacionales y el derecho internacional y sobre la base de la mejor información científica disponible,International Standards on Sexual Orientation and Gender Identity: Evolutionary Interpretation within Inter-American Law,Animals and Nature as New Subjects of Rights: A Study of the most Relevant Judicial Decisions in Colombia,Conflict of interests in corporate law: colombian regulations and comparative law
* Reconociendo que la Convención Marco de las Naciones Unidas sobre el Cambio Climático es el principal foro intergubernamental internacional para negociar la respuesta mundial al cambio climático .,Improvement of Hydroclimatic Projections over Southeast Spain by Applying a Novel RCM Ensemble Approach,The combined effects of climate change and river fragmentation on the distribution of Andean Amazon fishes,More than CO2: a broader paradigm for managing climate change and variability to avoid ecosystem collapse
14 . 6 De aquí a 2020 prohibir ciertas formas de subvenciones a la pesca que contribuyen a la sobrecapacidad y la pesca excesiva eliminar las subvenciones que contribuyen a la pesca ilegal no declarada y no reglamentada y abstenerse de introducir nuevas subvenciones de esa índole reconociendo que la negociación sobre las subvenciones a la pesca en el marco de la Organización Mundial del Comercio debe incluir un trato especial y diferenciado apropiado y efectivo para los países en desarrollo y los países menos adelantados2,Does encouraging the use of wetlands in water quality trading programs make economic sense?,Impact of policies and subsidies in agribusiness: The case of oil palm and biofuels in Colombia,"Protected areas and frugivorous fish in tropical rivers: Small-scale fisheries, conservation and ecosystem services"
