Pos.,Topic SourceTitle,Total,Cited by,EID,Year,Title,Abstract,Document type,Authors,Author keywords,Both keywords,Country,EID2
,,,1,WOS:000424679400004,2017,"Characterization of Congenital Anomalies since Inclusion in the Sivigila Surveillance System in Colombia, 2010-2013","Introduction: Congenital anomalies are a structural or functional alteration with impact on infant morbidity and mortality and disability worldwide. Strategies aimed to reduce their impact are supported by surveillance systems. In Colombia, since 2010 the report of congenital anomalies was included in the surveillance system (Sivigila). Aim: To characterize epidemiologically the notification of the event from its inclusion. Materials and methods: Is carried out descriptive analysis of the events reported during January of 2010 to December of 2013. Results: We found a prevalence of congenital malformations of 0.35% in Colombia during the analyzed period. The congenital anomalies with more frequent notification were those of the central nervous system and the anomalies of limbs. Conclusions: The prevalence reported for congenital malformations in Colombia is low compared to that reported in the literature that is between 3.0-7.0% of the population. The low rate of notification for congenital anomalies evidence the need for training to improve the notification of this event, to have a record closer to the reality of the population and thus be able to take decisions for the benefit of the population and in the generation of knowledge on this topic.",Article,"Acero, M.G.; Plata, S.",congenital anomalies; congenital malformations; notification; epidemiological surveillance,congenital anomalies;congenital malformations;notification;epidemiological surveillance;MALFORMATIONS,Colombia,
,,,1,WOS:000486590400002,2019,Characterization of Newborns with Moderate or Severe Perinatal Asphyxia Managed with Selective Cerebral Hypothermia in the Newborn Unit of the Hospital Universitario San Ignacio from June 2015 to March 2017,"Introduction: Hypoxic- ischemic encephalopathy generates various alterations in the central nervous system of the newborn, with various consequences ranging from physical and mental disability to death. The evidence indicates that moderate to severe hypoxic-ischemic encephalopathy must be managed with therapeutic hypothermia. Objectives: Describe the clinical characteristics of a group of neonates treated by the therapeutic hypothermia team of the Neonatal Intensive Care Unit of the Hospital Universitario San Ignacio. Methodology: Sequential cross-section observational study, from June 2015 to March 2017. Continuous variables were compared using student's t-test. Relative frequency analysis was performed and compared according to variants of clinical interest using chi-square. Results: A total of 41 patients were treated by the program during the observation period. Clinical seizures were evident in 65% of the subjects. The main clinical outcome to discharge observed in the patients after the intervention was encephalopathy (90%). The clinical determinants of the birth of the neonate are compared with the death outcome where no significant differences were found proportionally between the two groups except for Apgar at 10 minutes and the presence of acidemia. For the outcome of death, RP greater than 1 in the case of Cesarean section, increased clotting time, thrombocytopenia, hypocalcemia and impaired renal function (p <0.05 and IC-95> 1). Conclusions: Low Apgar at 10 minutes and acidemia is associated with higher mortality. There was a greater prevalence of electrolyte and renal coagulation alterations in the group with lethal outcome. The time of onset of the therapy was related to seizures but not to death.",Article,"Vargas-Vaca, Y.; Devia, C.; Bertolotto, A.M.; Suarez-Obando, F.",hypoxia; newborn; hypothermia; infant; newborn; diseases; perinatal mortality,hypoxia;newborn;hypothermia;infant;diseases;perinatal mortality;NEONATAL-MORTALITY;ENCEPHALOPATHY;IMPROVEMENT;OUTCOMES;BRAIN,Colombia,
,,,1,WOS:000582641800008,2020,DNA Next-Generation Sequencing (NGS): Present and Future in Clinical Practice,"Introduction: The term Next-Generation Sequencing (NGS) represents the technologies designed to analyze great amounts of DNA in a massive and parallel fashion. In this review we present the basic concepts of NGS technologies, the considerations for its current use and future perspectives. Development: NGS-based tests has revolutionized the study of the genomes as it allows the read of millions of DNA sequences massively and parallelly, in a shorter span of time and at a lesser cost per base. These tests include gene panel sequencing, whole exome sequencing and whole genome sequencing. Result analysis can be complex and requires an exhaustive clinical and bioinformatic process for an adequate interpretation. Among the limitations of NGS testing are the errors in technical aspects such as coverage, depth and read length, as well as its limited usefulness for the detection of structural alterations. These limitations can be approached implementing good laboratory practices. Conclusions: NGS tests are diagnostic tools that must be supported by an adequate clinical approach for its reasoned use, correct interpretation and appropriate decision-making. It is of great importance that physicians acquire the basic information to be able to order and interpret these tests given their current relevance.",Article,"Rubio, S.; Pacheco-Orozco, R.A.; Gomez, A.M.; Perdomo, S.; Garcia-Robles, R.",high-throughput nucleotide sequencing; sequence analysis; DNA; mutation; variant interpretation,high-throughput nucleotide sequencing;sequence analysis;DNA;mutation;variant interpretation;MEDICAL GENETICS;DIAGNOSIS;SPECTRUM;GENOMICS;ERA,Colombia,
,,,1,WOS:000445777600011,2018,Ectopic Cervical Pregnancy - Precise Diagnosis and Medical Management Approach. Case Report,"Cervical ectopic pregnancy is an exotic condition. Its diagnosis and management pose a major challenge given its association with serious maternal outcomes. The clinical suspicion and the judicious application of the diagnostic criteria allow for conservative therapy modalities. In this article, a case of cervical ectopic pregnancy is reported to diagnostic ultrasound imaging and nuclear magnetic resonance in which treatment with Methotrexate was administered. Clinical follow-up of the laboratory test and ultrasound showed complete resolution of the condition. Aspects related to the diagnosis and treatment are reviewed.",Article,"Martinez, R.A.; Quintero, L.; Garcia, C.A.; de Castro, A.F.",pregnancy ectopic; ultrasonography; magnetic resonance spectroscopy; Methotrexate,pregnancy ectopic;ultrasonography;magnetic resonance spectroscopy;Methotrexate;INTRAUTERINE INSEMINATION;CONSERVATIVE MANAGEMENT;TUBAL PREGNANCY;LOCAL INJECTION,Colombia,
,,,1,WOS:000457094900004,2018,"Factors Associated with the Initiation of the Smoking Habit in University Students in Bogota, Colombia","Introduction: All over the world 5.4 million people die due to tobacco related diseases per year. Considering that teenagers are highly impressionable by media in tobacco consumption, they constitute the population of interest in order to diminish the use of tobacco and the morbidity associated with its use. Objective: To identify factors associated at the beginning of tobacco consumption. Methodology: Descriptive cross-sectional study using a poll created from a questionnaire on tobacco by Center of Disease Control and Prevention, with a sample of smokers, over 18, selected in the most popular smoking areas at Universidad Javeriana, Bogota - Colombia. Results: The most frequent factors related to the beginning of tobacco consumption were: Peer pressure (34.6%), curiosity (24.7%) and stress (17.6%). The average starting smoking age was 14.3 (+/- 1.9). Conclusion: The low capacity of opposing social pressure at parties and recreational events showed as the most important factor at the beginning of a smoking habit.",Article,"Nino, A.M.B.; Reyes, P.A.B.; Bonilla, J.F.C.; Avilez, M.A.C.; Lopera, J.A.V.; Quitian-Reyes, H.",smoking; undergraduate students; factors; cigarette,smoking;undergraduate students;factors;cigarette;RISK,Colombia,
,,,1,WOS:000740674300001,2021,Healthcare Workers during the COVID-19 Pandemic from a Street-Level Bureaucracy Perspective - A Narrative Review of Literature,"Street-level bureaucrats are professionals whose main role consists in the implementation of public policies at a community level, guiding themselves through the use of autonomy and discretion. In this narrative review of literature 44 articles that had information about street-level bureaucracy regarding healthcare workers in the COVID-19 pandemic in specific countries (China, United States, Italy, Brazil, Mexico and Colombia) were selected from various databases and analyzed to explore how the implementation of health public policies during the current COVID-19 pandemic impacted and shaped the work of healthcare workers. Various ideas were extracted and analyzed using the street-level bureaucracy model as a reference point. We concluded that street-level bureaucrats have played a crucial role in this pandemic and that providing them with government support, clear public policies and enough resources is essential for them to correctly manage public health problems. Further research needs to be done regarding the consequences brought upon street-level bureaucrats by the pandemic and the impact that street-level bureaucrats have had in countries like Colombia.",Review,"Mendez, D.M.; Gomez, S.M.; Camargo, Y.C.",street-level bureaucrats; healthcare workers; COVID-19; pandemic; autonomy; discretion; public policies; political will,street-level bureaucrats;healthcare workers;COVID-19;pandemic;autonomy;discretion;public policies;political will,Colombia,
,,,1,WOS:000424680700008,2017,Hospital Functional Impairment. Review and Update with a Perspective Aimed at Improving Quality of Care of the Elderly,"Functional decline in hospitalized elderly adults is characterized by the loss of at least one of the basic activities regarding the functionality two weeks prior to the onset of acute illness. It has associated risk factors that could be modified during hospitalization, therefore the importance of the early identification and well-timed intervention. It is important to know the clinical entity's background, due to the short or long term multiple associated complications that could unexpectedly appear; for example, increased hospital stay, medical complication presence, increased institutionalization risk, higher costs for the health system and increased mortality rate. The objective of this work is to know about the presence, risk factors, early identification and the intervention programs to improve the caring quality in elderly patients hospitalized for medical illness.",Review,"Rengifo, M.J.L.; Chavarro-Carvajal, D.A.",dependency; hospitalization; eldery; clinical pathology,dependency;hospitalization;eldery;clinical pathology;ACUTE MEDICAL ILLNESS;RISK,Colombia,
,,,1,WOS:000483650700009,2019,\Implementation of a Multimodal Analgesic Strategy Including Continuous Femoral Nerve Block in Patients Undergoing Total Knee Arthroplasty,"Total knee replacement is a painful surgical procedure. The inadequate control of postoperative pain is associated with adverse outcomes in the short and long term. Continuous femoral block has been shown to be effective and efficient as part of multimodal analgesia. This series of 48 patients who underwent total knee replacement, who received multimodal analgesic treatment including continuous femoral nerve block, documents the pain control profile during the first 48 hours. This is a successful experience of implementing regional techniques as part of perioperative pain relief, as documented in the literature. We emphasize that each institution must know its technical and human resource and characterize its patients, in order to implement multimodal analgesia protocols that include this regional technique. We also suggest to monitor and implement continuous improvement processes.",Article,"Angulo, R.G.; Ramirez, A.J.B.; Oliveros, M.M.; Moreno, D.; Quesada, D.; Abril, L.; Mondragon, M.C.; Matamoros, A.M.",contiuous femoral nerve block; multimodal analgesia; perioperative analgesia; knee arthroplasty,contiuous femoral nerve block;multimodal analgesia;perioperative analgesia;knee arthroplasty;PAIN MANAGEMENT;POSTOPERATIVE PAIN;3-IN-ONE BLOCK;MORPHINE;RISK,Colombia,
,,,1,WOS:000483650700007,2019,Instructional Design Model Applied to a Virtual Guide in Clinical Simulation,"Introduction: The teaching experience of a group of teachers when teaching clinical procedures has been carried out through virtual guides prepared using instructional design models in which the pedagogical and technological pedagogical dimensions were taken into account. Objective: To create a virtual clinical simulation guide for nursing students to have autonomous learning of a clinical-care procedure, through the application of an instructional design model. Methods: To develop the guide it was necessary to apply the ADDIE (acronym for Analysis, Design, Development, Implementation and Evaluation) instructional design model, on which some qualitative and quantitative measurements were made. Results: Quantitative measurements made in 159 participants between 2015 and 2016 indicated an average score of 3.99 with a standard deviation of 0.86, which showed that the strategy used to teach the procedure with the virtual guide was effective. The qualitative evaluation assessed dimensions of satisfaction, realistic experience, confidence, motivation, technical skills and decision making, and it showed that teacher support was still required in the simulation area, which reduced the satisfaction of some participants. Likewise, one factor that was affected was communication, because the guide does not facilitate the development of this skill. Conclusion: The ADDIE instructional model is useful for developing virtual guidelines for clinical procedures, and in its final evaluation stage allows the implementation of qualitative and quantitative research value processes to verify its effectiveness.",Article,"Gamboa, F.E.A.; Alvarez, J.C.D.; Cepeda, R.A.C.; Gomez, J.C.C.",instructional design model; ADDIE model; nursing education; patient simulation; guide,instructional design model;ADDIE model;nursing education;patient simulation;guide;ENVIRONMENTS;METHODOLOGY,Colombia,
,,,1,WOS:000751661000005,2021,Knowledge about Euthanasia in University Students in Two Institutions of Higher Education in Colombia,"Introduction: Euthanasia was depenalized in Colombia in 2014 as a measure that broadens the right to make decisions related to a dignified death. Currently, euthanasia continues to be a controversial topic that generates diverse opinions and positions. Objective: Explore the knowledge of the definitions and know the opinions that university students have regarding euthanasia. Methods: Cross-sectional study with data obtained through a electronic survey on euthanasia in volunteer university students from Pontificia Universidad Javeriana in Bogota and Universidad del Cauca in Popayan. The questionnaire contained questions on general participant information, knowledge about euthanasia and opinions based on hypothetical cases. Results: 758 students participated, 60% of them female, with a mean age of 22 years. 53% of students identified the appropriate definition of euthanasia, 77% would consider applying for euthanasia in hypothetical cases of end-stage disease. A significant proportion confused the definition of euthanasia with that of palliative care. Conclusions: A lack of knowledge regarding the definition of euthanasia proposed by the World Health Organization was observed and although euthanasia was accepted by most of the study population, our results indicate the need to open spaces for information and dialogue on the subject.",Article,"Portilla, M.V.; Espejo-Saavedra, A.; Ospina, F.N.; Gomez, S.R.; Jaramillo, M.S.; Garcia, P.B.; Buesaquillo, C.; Arango, L.; Burbano, L.; Andrade, L.; Calvache, J.A.; de Vries, E.",euthanasia; health knowledge; students; palliative care; right to die,euthanasia;health knowledge;students;palliative care;right to die,Colombia,
,,,1,WOS:000457094900011,2018,Mixed Malaria: Regarding the Diagnosis of a Case in a Non-Endemic Zone,"Mixed-malaria infections are often under recognized, despite their high morbimortality. The presence of more than one species of Plasmodium spp. in association with clinical symptoms configures a mixed-malaria infection. A pediatric patient diagnosed with mixed-malaria infection in a non-endemic zone hospital is described. A brief review and its therapeutic approach for Colombia are presented.",Article,"Barahona-Correa, J.E.; Jimenez, A.; de Castro, M.; Lopez, J.C.",malaria; Plasmodium; Plasmodium vivax; Plasmodium falciparum; coinfection,malaria;Plasmodium;Plasmodium vivax;Plasmodium falciparum;coinfection,Colombia,
,,,1,WOS:000637022700001,2021,Practical Approach to SARS-CoV-2 in Newborns,"The recent appearance of SARS-CoV-2 disease or also widely mentioned worldwide in recent days, as COVID-19, has generated a wide variety of questions and challenges in health personnel about its treatment and prognosis, which have not been resolved yet, this problem increases even more when it comes to the newborn population, because of the sparse evidence, so we have carried out a comprehensive review of the existing literature on COVID-19 in newborns, proposing a practical diagnostic and treatment scheme for the care of this population in the newborn care.",Article,"Gomeza, I.M.; Ramirez, D.M.; Vargas, Y.A.; Bertolotto, A.M.; Montealegre, A.D.; Lopez, J.C.",newborn; coronavirus infection; COVID-19; SARS-CoV-2; diagnosis; management,newborn;coronavirus infection;COVID-19;SARS-CoV-2;diagnosis;management;DISEASE 2019 COVID-19;PREGNANCY;INFANTS;MOTHERS;BORN;CARE,Colombia,
,,,1,WOS:000424679400003,2017,Serum Folic Acid Values in a Group of Patients over 18 Years of Age in a Highly Complex Hospital,"Objective: To establish the serum levels of folic acid in a group of adult patients. Methods: Measurement of folic acid using immunoassay in 1797 subjects. Measures of central tendency and 95% CI were calculated. Age groups and genders were compared with non-parametric tests. Results:The overall mean serum folate was: 11.61 ng/ml (SD: 6.05). The average for women was: 11.87 ng/ml (SD: 6.09). The average for men was: 11.31 ng/ml (SD: 6). Percentiles 5, 50, and 95 by sex and age are reported. In 2% of cases folic acid was found < 2 ng/ml (2% of men and 3% women). Discussion: Serum levels of folic acid are higher in women than in men (p=0.024), which contrasts with the notion of micronutrient deficiency in females. Conclusions: The presented measurements are an appropriate comparator described for measurements in general population samples.",Article,"Salamanca, L.; Ordonez, A.; Cardozo, C.; Suarez-Obando, F.",folic acid; reference values; vitamins,folic acid;reference values;vitamins;B-VITAMINS;FOLATE;HOMOCYSTEINE;DEFICIENCY;RISK;POPULATION;COLOMBIA;CHILDREN;DISEASE,Colombia,
,,,1,WOS:000457094900008,2018,Therapeutic Options in the Management of Echinocandin Resistant Candida Species,"Introduction: Candida yeasts infections represent the most common cause of invasive fungal infections. Its high incidence and increasing resistance to azoles and, recently, to echinocandins has generated the need to find new therapeutic options. This review presents the main pharmacological alternatives in research against echinocandins resistant Candida. Methods: A search was conducted in the databases of Bireme, Clinical Key, Embase, Cochrane, Lilacs, Pubmed and Scopus. 15 articles were included in this review. Results: Several alternatives are explored, including increased doses of echinocandins, combination with other drugs and new compounds under study. Conclusion: Although resistant Candida infections still represent a challenge, two pharmacological approaches show promise: The combination with existing medicaments such as diclofenac, and new compounds that are currently in Phase II of clinical trials.",Article,"Hidalgo, A.P.C.; Duenas, O.H.R.; Fandino, Y.R.M.; Alvarez-Moreno, C.A.",echinocandins; Candida; drug resistance; fungal; antifungal agents,echinocandins;Candida;drug resistance;fungal;antifungal agents;IN-VITRO ACTIVITY;BLOOD-STREAM INFECTIONS;INVASIVE CANDIDIASIS;ATTRIBUTABLE MORTALITY;REDUCED SUSCEPTIBILITY;DOSE-ESCALATION;VIVO ACTIVITY;CELL-WALL;ALBICANS;ANTIFUNGAL,Colombia,
,,,1,WOS:000457095800006,2018,Treatment of the Helicobacter pylori Infection: A Critical Appraisal of the Literature,"Introduction: Helicobacter pylori (H. pylori) infection is a public health problem due to its relationship with gastric cancer. The escalation of antibiotic resistance hampers an effective eradication, despite the availability of treatment options. Methods: A review of the literature was performed in the database PubMed between 01/01/2015 and 31/31/2016. Results: Twenty six articles were included. Sequential therapy stands out as a first line therapy for scenarios such as Colombia. The implementation of adjuvants may have a positive impact on eradication rates. Local epidemiology and cost-effectiveness studies are scarce. The results were analized by erradication therapies, coadyuvant treatment, guidelines and outcomes non mentioned in the guidelines. Conclusions: The correct use and knowledge of the different treatment options could reduce the costs for the health systems, the antibiotics resistance and could favor pathogen eradication. Further studies are required for establishing local recommendations.",Review,"Laserna, A.; Barahona-Correa, J.E.; Alba, L.H.",Helicobacter pylori; disease management; therapeutics; disease eradication; anti-bacterial agents,Helicobacter pylori;disease management;therapeutics;disease eradication;anti-bacterial agents;14-DAY TRIPLE THERAPY;HYBRID THERAPY;ERADICATION THERAPY;SEQUENTIAL THERAPY;METAANALYSIS;CONSENSUS;EFFICACY;RISK;ANTIBIOTICS;CONCOMITANT,Colombia,
