Pos.,Topic AuthorKeywords,Total,Cited by,EID,Year,Title,Abstract,Document type,Authors,Author keywords,Both keywords,Country,EID2
,,,5,2-s2.0-85028589134,2017,"Obstacles associated with the adherence to tuberculosis treatment in Cali and Buenaventura, Colombia, 2012","Objective: to determine obstacles associated with the adherence to the strictly supervised treatment of tuberculosis (TB) in two municipalities of Colombia. Methods: case studies (128) and controls (182). Univariate, bivariate, and logistic regression analyzes were performed. Results: the factors associated with nonadherence to TB treatment were: no cohabitation with relatives (OR = 4.54, 95% CI 1.45-14.22), non-attendance to religious meetings (OR = 28.17, 95% CI 4.37-181.75), no antecedents regarding dealing with an illness lasting over two weeks (OR = 3.37, 95% CI 1.59-7.13), did not recognize that TB treatment lasts for up to six months (OR = 3.51, 95% CI 1.87-6.59), drug use (OR = 3.41 , 95% CI 0.95-12.23), occasional lack of treatment supplies by the health services (OR = 5.53, 95% CI 1.20-5.52). Conclusions: The design and development of strategies to ensure adherence to TB treatment must take into account, in addition to the individual behavioral factors of patients, the social and administrative factors that affect their success.",Review,"Carvajal Barona, Rocio.; Tovar Cuevas, Luis Miguel.; Unknown.; Arevalo, Maria Teresa Varela",Buenaventura;Cali;Colombia;Medication adherence;Tuberculosis,Buenaventura;Cali;Colombia;Medication adherence;Tuberculosis,Colombia;Colombia,
,,,5,2-s2.0-79953011667,2011,Polymorphism of 17 Y-chromosome STR markers in a sample from the cundiboyacense plateau,"Introduction: The application of Y-Chromosome molecular DNA typing is a tool of recognized importance in the process of identification of male individuals in various forensic cases, and currently it is now a support tool for genetic laboratories seeking to identify victims of the armed conflict in Colombia within the legal process of «Justice and Peace». In this report, the Y-chromosome haplotype is determined and statistical analyses are performed to improve databases of Colombian Y-chromosome for comparison with relatives of the male line. Objective: Characterization of haplotypes through analysis of Y-chromosome STR molecular markers in a sample of Colombian Cundiboyacense highland population. Methods: From the «Program of blood Bank from officials at the Attorney General's Office (FGN)», 74 samples were randomly selected from individuals who reported no paternal relationship with each other and whose paternal geographic origin belonged at least for two generations to the departments of Cundinamarca and Boyacá. Seventeen (17) tandem repeat polymorphisms in the Y chromosome were amplified and typed (DYS456, DYS389I, DYS390, DYS389II, DYS458, DYS19, DYS385a/b, DYS393, DYS391, DYS439, DYS635, DYS392, Y-GATA-H4, DYS437, DYS438, and DYS448). Results: Distribution of allele and haplotype frequencies for the 17 markers were analyzed: 71 haplotypes were determined with 17 Y-STR markers of which 68 were unique and 3 were observed in two individuals, with a single shared haplotype for the two departments of the Cundiboyacense Plateau. The haplotype diversity for the sample population was 99.9% with a discrimination power of 95.9% and random match probability of 1.5%. The comparison of the two populations together had no significant differences, and therefore no regional specificity was found in allele frequencies between Cundinamarca and Boyacá. Discussion: The values of haplotype diversity, discrimination power, and probability of random coincidence showed the usefulness of Y-STR analysis in cases of patrilineal descent and are consistent with values observed in the early development of haplotype databases. Conclusion: The data analysis of the 17-Y STR markers obtained in this study provide haplotypes for the Cundiboyacense highlands, one of the most significant concentrations of population in Colombia, and serves as an informative database for forensic practice and genetic studies for human populations. © 2011 Universidad del Valle, Facultad de Salud.",Article,"Unknown.; Roa, Martha.; Balcazar, Ignacio Briceno.; Unknown.; Gomez, Alberto",Colombia;Haplotype;Haplotype diversity;STR-Y;Y-chromosome,Colombia;Haplotype;Haplotype diversity;STR-Y;Y-chromosome,Colombia;Colombia;Colombia,
,,,5,WOS:000492927200001,2020,Prevalence and demographic characteristics of Behcet disease in Colombia: data from the national health registry 2012-2016,"To estimate prevalence and describe the main demographic characteristics of Behcet disease in Colombia. Cross-sectional study, based on official Ministry of Health registry data. 523 cases of Behcet disease (ICD-10 code: M352) were reported between 2012 and 2016, for a prevalence in people over 18 years old of 1.10 per 100,000 inhabitants, of which 68% are women, with a female-to-male ratio of 2.2:1, with greater prevalence within the 45-49 age group. This is the first study that shows demographic and epidemiological information on Behcet disease in Colombia. Prevalence seems to be low when compared with other similar studies in the region.",Article,"Fernandez-Avila, D.G.; Rincon-Riano, D.N.; Bernal-Macias, S.; Davila, J.M.G.; Rosselli, D.",Behcet syndrome; Prevalence; Epidemiology; Colombia; Latin america,Behcet syndrome;Prevalence;Epidemiology;Colombia;Latin america,Colombia,2-s2.0-85077477843
,,,5,WOS:000432368900010,2018,"Re-emergence of educational inequalities in cervical cancer mortality, Colombia 1998-2015","Aim of the study: To perform an in-depth evaluation of the trends and recent levels of inequalities in cervical cancer mortality in Colombia. Methods: Using Colombian national mortality statistics, we calculated age-standardized mortality rates (ASMR) as well as age-specific rates per 100,000 person-years, applying redistribution factors according to international recommendations. We imputed missing data for educational level. Multivariate Poisson regression models were constructed to incorporate age and educational level as independent variables. To assess changes in educational inequalities, we estimated the Relative Index of Inequality (RII). All estimates were also evaluated over time, resulting in estimated annual percent changes (EAPC). Results: Over time, cervical cancer mortality declined rapidly up to 2013 (EAPC = - 5.4%, ASMR 27.2 in 1998, 12.5 in 2013), after which ASMR stabilized. This pattern was present in all but the youngest age group and in all educational levels, but much stronger initial declines were observed among women with tertiary education (EAPC = - 8.3%) compared with those with primary (EAPC = - 4.0%) and secondary (EAPC = - 3.4%) educational levels. The overall RII was 6.77 (95%CI: 6.15, 7.47), varying from 3.5 for women aged 65 and over, to 8.5 in women aged 25-44. Significant increases in inequality were observed for middle-aged (EAPC = + 2.9%) and young (EAPC = + 2.4%). Conclusion: Cervical cancer mortality rates were highest at older ages, but inequalities are concentrated in the younger age groups - and increasing. Considering the recent stagnations in improvement in cervical cancer mortality as well as it inequalities, public policies addressed to reduce cervical cancer mortality are recently failing.",Article,"de Vries, E.; Arroyave, I.; Pardo, C.",Cervical cancer; Mortality; Trends; Inequalities; Education; Colombia,Cervical cancer;Mortality;Trends;Inequalities;Education;Colombia;DISPARITIES;ACCESS;WOMEN,Colombia,2-s2.0-85044678549
,,,5,WOS:000368472400009,2015,Returning home: movement strategies of Sub-Andean birds in a modified landscape,"We documented movement of a long-distant migrant (Swainson's Thrush Catharus ustulatus) and two understory resident species (Chestnut-capped Brush-finch Buarremon brunneinuchus and Streak-capped Treehunter Thripadectes virgaticeps) in a fragmented landscape dominated by a pasture matrix in a Sub-Andean region of central Colombia. Swainson's Thrush had no detectable difficulties traversing a pasture matrix and returning to the capture site. Chestnut-capped Brush-finch and Streak-capped Treehunter (understory resident species) avoided making lengthy flights and used stepping-stones and nearby corridors to ease their movement. Providing stepping stones such as live fences and isolated trees and maintaining corridors can enhance functional connectivity in regions with fragmented forests, aiding the conservation of bird species.",Article,"Suarez-Rubio, M.; Montealegre, C.; Renjifo, L.M.; Renner, S.C.",Colombia; forest fragmentation; landscape matrix; land-use change; radio-telemetry,Colombia;forest fragmentation;landscape matrix;land-use change;radio-telemetry;TROPICAL FOREST BIRDS;EXPERIMENTAL TRANSLOCATIONS;SPECIES LOSS;RAIN-FOREST;FRAGMENTS;DISPERSAL,Austria;Colombia;United States,2-s2.0-84949749402
,,,5,WOS:000500542700007,2019,"Salmonella spp. prevalence, antimicrobial resistance and risk factor determination in Colombian swine farms","To determine Salmonella spp. prevalence/seroprevalence, antimicrobial resistance patterns and risk factor identification associated with its presence in Colombian swine farms. 504 samples (Faeces, swabs and environment samples) were obtained from 21 farms distributed in four geographical regions in Colombia. Salmonella spp. microbiological and molecular detection were determined by two Salmonella spp. MDS3M (TM) and MALDI-TOF MS assays, respectively. In addition, for serological evaluation 231 serum samples were analyzed employing ELISA Salmonella Pigtype (R)-Salmonella Ab (QUIAGEN (R)). Additionally, 41 isolates were tested for antimicrobial susceptibility using broth microdilution technique (Panel B1016-180 Beckman Coulter NC72 (R)) and verified with WHONET 2016 software. Risk factors were assessed from a survey and analyzed for statistical significance by U Mann-Whitney test. An 8.9% prevalence (n=45) and 38.1% (n=88) seroprevalence were determined. All isolates presented 100% antimicrobial susceptibility against amikacin. However, resistance against penicillin, tetracycline, cefuroxime and trimethoprim/sulfamethoxazole was present in more than 50% of evaluated strains. Risk factors associated with Salmonella spp. presence were surface water use, rough-surfaced on floors, presence of hoppers as feeders and worker's boots. Bacteria were present in animals and environmental samples from evaluated farms. Animal contact and/or exposure with the microorganism were also evident in obtained serological response. Bacteria presence depended on management practices and infrastructure, likewise antibiotic use, supplemented in the diet may have induced an increase in Salmonella spp. antimicrobial resistance.",Article,"Giraldo-Cardona, J.P.; Gualdron-Ramirez, D.; Chamorro-Tobar, I.; Pulido-Villamarin, A.; Santamaria-Duran, N.; Castaneda-Salazar, R.; Zambrano-Moreno, C.; Carrascal-Camacho, A.K.",Salmonella spp.; antimicrobial resistance; risk factors; swine farm; prevalence; seroprevalence; susceptibility test; pigs; Colombia,Salmonella spp.;antimicrobial resistance;risk factors;swine farm;prevalence;seroprevalence;susceptibility test;pigs;Colombia;BACTERIAL PATHOGENS;ENTERICA INFECTIONS;FINISHING PIGS;BIOSECURITY;INTERVENTIONS;CONTAMINATION;EPIDEMIOLOGY;ANTIBODIES;ALBERTA;FEED,Colombia,2-s2.0-85076089615
,,,5,WOS:000593413100001,2021,Socioeconomic Disparities and Gender Inequalities in Dementia: a Community-Dwelling Population Study from a Middle-Income Country,"The proportion of the world's older adults and of its dementia cases is increasing in low and middle-income countries. This is particularly true in Colombia. There, the number of individuals with dementia may increase five-fold by 2050. Yet research is lacking on dementia in such settings. This work estimates the prevalence of dementia in a community-dwelling population in Colombia. It also assesses how gender-based differences in cardiovascular conditions and socioeconomic disparities affect dementia. This work analyzes data on 2000 respondents at least 60 years of age in the Health, Well-Being, And Aging (SABE) study in Bogota. Respondents with dementia are those who have cognitive impairment and at least two limitations in instrumental activities of daily living. The SABE study finds 8.4% of respondents have dementia. Age, cardiovascular risks, and socioeconomic disparities contributed to higher odds of dementia. The contributors to dementia can differ for men and women. For example, socioeconomic disparities were a larger contributor to dementia for women than men. The findings support the cognitive reserve hypothesis on dementia. This holds that pre-existing cognitive processes and compensatory mechanisms influence dementia. Women in Latin America are more likely to suffer from socioeconomic disparities that limit their cognitive reserve. This research points to several policy implications that can help offset these disparities and reduce the prevalence of dementia.",Article,"Mejia-Arango, S.; Garcia-Cifuentes, E.; Samper-Ternent, R.; Borda, M.G.; Cano-Gutierrez, C.A.",Colombia; Dementia; Gender-based; Gender disparity; Latin America; Socioeconomic disparity,Colombia;Dementia;Gender-based;Gender disparity;Latin America;Socioeconomic disparity;MONTREAL COGNITIVE ASSESSMENT;ALZHEIMERS-DISEASE;INSTRUMENTAL ACTIVITIES;CARDIOVASCULAR HEALTH;SEX-DIFFERENCES;SCREENING TOOL;LATIN-AMERICA;AIR-POLLUTION;PREVALENCE;ASSOCIATION,Mexico;Colombia;United States;Norway,2-s2.0-85096864139
,,,5,2-s2.0-85090529807,2020,"The civic strike of 2017 in buenaventura, colombia. Social protest and transformation of political power","Colombia is a country with multiple expressions of social protest across its history. A recent one was the civic strike that occurred between May 16th and June 6th of 2017 in Buenaventura (Colombian Pacific). This article analyzes the particularities of the Paro, understanding it as a moment of inflection in the middle of a critical situation the territory and their inhabitants were going through. Likewise, the strike was fundamental for thenegotiation model and the dialogue scenarios it fostered, as well as for the civic movement that leveraged it. Alongside the transformation of the local political power. The combination of these events had positive electoral results, in October 2019, for those who promoted the protest from the beginning. This article is a product of the revision and analysis of documental and fieldwork sources within the framework of two research projects: one in execution (2019-2021) and another one finished (2016-2019).",Article,"Marin, Jefferson Jaramillo.; Pardo, Erika Paola Parrado.; Unknown",Buenaventura;Civic Strike;Colombia;Political Power;Social Protest,Buenaventura;Civic Strike;Colombia;Political Power;Social Protest,Colombia,
,,,5,WOS:000289422500002,2010,The (de)construction of a psychiatric diagnosis: PTSD among former guerrilla and paramilitary soldiers in Colombia,"The demobilisation of guerrillas and paramilitaries in Colombia, also known as irregular armed groups, has raised the question among mental health professionals as to whether ex-combatants who have had repeated exposure to stressful events might meet the requirements for posttraumatic stress disorder (PTSD). Upon arrival at a psychiatric clinic in Bogota, 76 patients were evaluated by a group of mental health professionals with experience in this diagnosis. Contrary to clinicians' expectations, there was a conspicuous lack of PTSD among this population. Subsequently, the clinical team administered the Clinician Administered PTSD Scale with 21 of these patients; PTSD was found in 57% of the men. The authors consider various arguments that might explain this discrepancy. Differences between the clinical presentation of PTSD among the ex-combatants and the classic descriptions contained in the DSM-IV-TR may be explained by organisational characteristics of the irregular armed groups. Further research is necessary which focuses on the mental health of populations in the context of political violence, such as those encountered in Colombia.",Article,"de la Espriella, R.; Pingel, E.S.; Falla, J.V.",PTSD; political violence; reinsertion programmes; diagnostics; Colombia,PTSD;political violence;reinsertion programmes;diagnostics;Colombia;POSTTRAUMATIC-STRESS-DISORDER;TRAUMA;WAR,Colombia;United States,
,,,5,2-s2.0-46749148382,2008,The formation of psychologists in Colombia,"The Colombian context shows harsh social, educational, and economical realities which have become favorite topics of study at the Universities. This text presents reflections on the formation of psychologists in Colombia and the way this formation becomes articulated with the demands made by the Colombian context. In this reflection, standpoints such as De Sousa Santos' (2005) are brought to the table, in order to suggest that the formation of Psychologists should take into account aspects such as keeping education as a public good, defending scientific and pedagogical autonomy, and building pluriuniversitary knowledge. In order to be able to attain those goals, it is suggested that certain student skills and concepts be fostered, such as the installation of the question, knowledge that is historical and geografically-linked the ability to move in different contexts and the compassionate ability.",Article,"Robledo-Gomez, Angela Maria",Colombia;Formation;Pedagogy;Professional Formation;Psychologists;Psychology;Teaching,Colombia;Formation;Pedagogy;Professional Formation;Psychologists;Psychology;Teaching,Colombia,
,,,5,WOS:000309784800004,2012,The relationship between physical and biological habitat conditions and hermatypic coral recruits abundance within insular reefs (Colombian Caribbean),"Little evidence exists on the dependence between the presence and abundance of juvenile hermatypic corals and the conditions of their habitats, despite that juveniles contribute with the understanding of the community structure and its reproductive success. To assess this, the abundance of nine species of juvenile corals was correlated with eight macro-habitat (location of the reef on shelf, depth) and micro-habitat (type and inclination of the substrate, exposure to light, texture and amount of sediment accumulated on bottom, potential growth area for juveniles) conditions. Sampling was conducted in four insular coral reefs in the Colombian Caribbean: two oceanic and two continental reefs (influenced by large rivers), covering a total of 600m(2) and the distribution of corals on a vertical gradient. Contingency tables and coefficients (magnitude) and multiple correspondence analyses were used to evaluate the dependency ratios for each species. The results showed that Agaricia tenuifolia displayed the most robust pattern of dependence (two high and two moderate), significant for juveniles present at a high frequency in continental reefs, devoid of potential area for juvenile growth (surrounded by macroalgae), and covering horizontal substrates exposed to light. The juveniles were associated with a habitat of moderate to high bottom accumulation of extremely fine sediment. Ponies astreoides presented four moderate dependencies; ocean reefs between 2-16m depths, a high frequency of juveniles on horizontal substrates, exposed to light, non-sedimented and occupied by competitors. Siderastrea siderea displayed three moderate dependences for juveniles in cryptic zones, inclined substrate and devoid of competitors. A. lamarcki, Leptoseris cucullata and A. agaricites presented two moderate dependences; these species share high abundance of juveniles in habitats with no sediment, exposed to light and occupied by competitors (except A. agaricites). The P ponies, Favia fragum and Montastraea cavernosa species had a moderate dependence with high incidence of juveniles in ocean reefs and microhabitats exposed to light. For the nine species, results indicate that the presence (colonization), abundance and survival of juveniles, depend on certain species-specific particularities of the habitat. However, the juveniles show high tolerance and plasticity to a range of habitat variables, given their independence and low dependence observed in over 50% of the variables assessed. Rev. Biol. Trop. 60 (3): 995-1014. Epub 2012 September 01.",Article,"Bernal-Sotelo, K.; Acosta, A.",recruitment; coral recruits; habitat; insular reefs; Caribbean; Colombia; Agaricia; Porites; Siderastrea; Leptoseris; Favia; Montastraea,recruitment;coral recruits;habitat;insular reefs;Caribbean;Colombia;Agaricia;Porites;Siderastrea;Leptoseris;Favia;Montastraea;SCLERACTINIAN CORALS;POPULATION-DYNAMICS;JUVENILE CORALS;LIFE-HISTORIES;PHASE-SHIFTS;SETTLEMENT;PATTERNS;RESILIENCE;SURVIVAL;LARVAE,Colombia,2-s2.0-84866646932
,,,5,WOS:000260696100009,2008,"The scorpion genus Ananteris in Colombia: comments on the taxonomy and description of two new species (Scorpiones, Buthidae)","Two new scorpion species are described from Colombia: Ananteris arcadiol sp. nov from Meta Department and Ananteris dorae sp. nov. from Narino Department. These new species raise to 62 the number of known species of Ananteris, eight of which are found in Colombia. Some comments on the taxonomy of Colombian Ananteris are included and some characters are proposed to define species whereas the usefulness of others is briefly discussed. A map with the known distribution of the different species in Colombia, a table for some characters, and a key for the identification of the Colombian species of the genus are included.",Article,"Botero-Trujillo, R.",Scorpions; taxonomy; Colombia,Scorpions;taxonomy;Colombia,Colombia,
,,,4,WOS:000327251100004,2013,Administration of folic acid and other micronutrients to pregnant women in Colombia,"Objective. To characterize the intake of folic acid (FA) and other micronutrients in medicinal form in a group of pregnant women in Colombia. Methods. Descriptive observational study. Information was obtained from interviews of pregnant women and from the clinical records of their prenatal check-ups and/or delivery in four cities in Colombia. The sample consisted of 1 637 women seen in 15 institutions. Results. A total of 1 315 pregnant women (80.3%) were advised to take FA, and 84% received a prescription, 90.3% of whom adhered to the treatment. FA was provided to 85.6% of them by their health insurance company and 10.7% purchased it themselves. The prescription was appropriate for 0.2% of the women; its use was entirely appropriate for 0.2% of the pregnant women and totally inappropriate for 41.9%. Other micronutrients were recommended to 1 192 women (72.8%), 77.6% of whom received the advice from their physician, with 88.7% adhering to the treatment. Conclusions. FA and other micronutrients are inappropriately recommended to pregnant women and taken without assessing their individual needs. The usefulness of programs that promote mass consumption of micronutrients in medicinal form during pregnancy should be reexamined. These programs seem not to recognize the fundamental causes of the population's nutritional problems.",Article,"Holguin-Hernandez, E.; Orozco-Diaz, J.G.","Drug utilization; drug prescriptions; inappropriate prescribing; drugs on basis of vitamins and minerals; folic acid; maternal and child health; sociology, medical; Colombia","Drug utilization;drug prescriptions;inappropriate prescribing;drugs on basis of vitamins and minerals;folic acid;maternal and child health;sociology, medical;Colombia;PERICONCEPTIONAL MULTIVITAMIN USE;GESTATIONAL-AGE BIRTHS;NEURAL-TUBE DEFECTS;FOLATE INTAKE;POSTMENOPAUSAL WOMEN;COLORECTAL-CANCER;SUPPLEMENTATION;FORTIFICATION;COHORT;RISK",Colombia,
,,,4,2-s2.0-84885087512,2013,Administration of folic acid and other micronutrients to pregnant women in Colombia,"Objective: To characterize the intake of folic acid (FA) and other micronutrients in medicinal form in a group of pregnant women in Colombia. Methods: Descriptive observational study. Information was obtained from interviews of pregnant women and from the clinical records of their prenatal check-ups and/or delivery in four cities in Colombia. The sample consisted of 1 637 women seen in 15 institutions. Results: A total of 1 315 pregnant women (80.3%) were advised to take FA, and 84% received a prescription, 90.3% of whom adhered to the treatment. FA was provided to 85.6% of them by their health insurance company and 10.7% purchased it themselves. The prescription was appropriate for 0.2% of the women; its use was entirely appropriate for 0.2% of the pregnant women and totally inappropriate for 41.9%. Other micronutrients were recommended to 1 192 women (72.8%), 77.6% of whom received the advice from their physician, with 88.7% adhering to the treatment. Conclusions: FA and other micronutrients are inappropriately recommended to pregnant women and taken without assessing their individual needs. The usefulness of programs that promote mass consumption of micronutrients in medicinal form during pregnancy should be reexamined. These programs seem not to recognize the fundamental causes of the population's nutritional problems.",Article,"Unknown.; Orozco-Diaz, Jose G.","Colombia;Drug prescriptions;Drug utilization;Drugs on basis of vitamins and minerals;Folic acid;Inappropriate prescribing;Maternal and child health;Sociology, medical","Colombia;Drug prescriptions;Drug utilization;Drugs on basis of vitamins and minerals;Folic acid;Inappropriate prescribing;Maternal and child health;Sociology, medical",Colombia;Colombia,
,,,4,WOS:000208302200008,2010,An evaluation of bess beetles (Passalidae) and their resource base in a restored Andean forest,"Degraded lands in the Colombian Andes have been restored by means of monospecific tree plantations of native and exotic species, and by abandoning lands to natural regeneration. Both methods rapidly produce a vegetation cover that helps to stabilize soils, but the value of resulting ecosystems for wildlife needs to be evaluated. We assessed the effects of these two restoration methods on the diversity and abundance of bess beetles (Passalidae), which are important deadwood recyclers. We quantified coarse woody debris (logs and branches >10 cm diameter) and associated passalid beetle fauna in 40-year-old Andean alder (Alnus acuminata) plantations, adjacent natural regeneration and old-forest remnants, at 2430 m of elevation in the Central Andes. The three forest types contained the same number of logs per unit area, but wood volume was lower in alder stands than in natural forest types. Old-forest remnants contained a higher number of occupied logs and individual beetles per transect and per unit wood volume than the two other habitats. We found six species of beetle, three of which were found in the three habitats and the other three in one habitat each. Forest remnants and natural regeneration had four species each, whereas alder plantations had three species. Although beetle abundance was lower in alder stands, in the small-scale mosaic found at this site alder plantations behaved similarly to secondary forest and merged as part of the local habitat heterogeneity. Whether these results apply to larger and more isolated plantations remains to be established.",Article,"Kattan, G.H.; Murcia, C.; Galindo-Cardona, A.",alder; Alnus acuminata; Andes; Colombia; habitat restoration; xylophagous beetles,alder;Alnus acuminata;Andes;Colombia;habitat restoration;xylophagous beetles,Colombia,2-s2.0-79951697885
,,,4,WOS:000506424400005,2019,"A new leafmining pest of guava: Hesperolyra guajavifoliae sp. nov., with comments on the diagnostics of the endemic Neotropical genus Hesperolyra van Nieukerken (Lepidoptera, Nepticulidae)","We describe a new pest of guava (Psidium guajava L.), Hesperolyra guajavifoliae Stonis & Vargas, sp. nov., that was recently discovered in western Colombia. Hesperolyra van Nieukerken is a small, Neotropical genus of pygmy moths (Nepticulidae). We re-examine and document the complex morphology of the male genitalia of the generic type species, H. diskusi (Puplesis & Robinson). We discuss the diagnostics and composition of the genus and provide a simple pictorial differentiation scheme for all currently known representatives of the genus. The new species is illustrated with photographs of the adults, some of the immature stages, male and female genitalia, and leaf mines. A link to the COI barcodes of H. guajavifoliae sp. nov. is provided and the relationship of Hesperolyra to other genera is discussed.",Article,"Stonis, J.R.; Remeikis, A.; Diskus, A.; Orlovskyte, S.; Vargas, S.A.; Solis, M.A.",New species; pygmy moths; guayaba; Psidium guajava; leaf mines; taxonomy; Colombia,New species;pygmy moths;guayaba;Psidium guajava;leaf mines;taxonomy;Colombia,Lithuania;Colombia;United States,2-s2.0-85078636438
,,,4,2-s2.0-34948886832,2007,A new species of Ananteris Thorell (Scorpiones: Buthidae) from Colombia,"Ananteris myriamae sp. nov. is described from the department of Meta, Colombia. This species is characterized, among other features, by the presence of two concavities in the anterior margin of the carapace, and six carinae in metasomal segment IV. With its description, the number of known species of Ananteris is raised to 59, five of which are present in Colombia. Copyright © 2007 Magnolia Press.",Article,"Botero-Trujillo, Ricardo",Ananteris;Colombia;Meta;New species;Scorpions,Ananteris;Colombia;Meta;New species;Scorpions,Colombia,
,,,4,WOS:000564455100004,2020,A political ecology of green territorialization: frontier expansion and conservation in the Colombian Amazon,"After decades of civil war, the Colombian government has recently declared the Amazon as a model region for green growth and low carbon development. The Amazon Vision programme, launched by the Colombian government in 2016, seeks to contribute to forest conservation, climate mitigation, poverty reduction and peace building. The Amazon Vision fundamentally reframes the Colombian Amazon from a 'narco frontier' that needs to be liberated from guerrilla influence, organized crime and peasants destroying forests for coca cultivation, to a net CO2 sink with enormous potential for green growth and poverty reduction. Drawing on historical and empirical qualitative research in Guaviare and complemented by a quantitative land cover classification, this article builds on the concept of green territoriality' to investigate the extent to which the shift towards conservation affects property rights and the ability of indigenous groups and peasants to access land and natural resources. We illustrate how the reframing of peasants from protagonists of development and frontier expansion to villains, and of indigenous communities from 'underdeveloped' forest dwellers to environmental guardians, has created land conflicts and affected the legitimacy of their respective property rights. In both cases, the Amazon Vision strengthens conservation policies and challenges existing land rights but also creates new windows of opportunity for the land claims of indigenous communities while reinforcing conceptualizations of social differentiation among dwellers of the Amazon.",Article,"Hein, J.; Del Cairo, C.; Gallego, D.O.; Gutierrez, T.V.; Velez, J.S.; de Francisco, J.C.R.",territorialization; land tenure; REDD; Colombia; Vision Amazonia; conservation; post-conflict; green growth,territorialization;land tenure;REDD;Colombia;Vision Amazonia;conservation;post-conflict;green growth;PROPERTY;FOREST;TERRITORIES;FRAMEWORK;INDONESIA;VIOLENCE;JUSTICE;RIGHTS;PEACE;LAND,Germany;Colombia;Belgium,2-s2.0-85082531271
,,,4,WOS:000270600800010,2009,APPLICATION OF SCIENCE TO PROTECTED AREA MANAGEMENT: OVERCOMING THE BARRIERS,"No other line of practice requires application of science More urgently than conservation. Here we explore several elements that must be pill in place to establish lines of communication between scientists, and managers of protected areas. First, it is necessary that scientists tire aware of the information needs of managers. that they produce the. relevant information, and that this information is available to managers. Second, it is necessary that managers not only know how access, process and incorporate the information, but that they also internalize their need for that science and the clear advantages, of incorporating it into their practice. We propose several mechanisms' to ensure tilt adequate flow of information between the two groups: active dialogue between the parties, translators of science located both in academia and government and nongovernmental organizations (NGOs), and execution of joint projects. In particular. we argue that science-oriented NGOs can play a major role in bridging the gap between basic science and on-the-ground conservation. We finish by describing three ease studies ill which some of thee models have been explored in Colombia and how science has been applied to address conservation and management concerns.",Article; Proceedings Paper,"Murcia, C.; Kattan, G.",Applied science; Colombia; conservation; management; nongovernment organizations,Applied science;Colombia;conservation;management;nongovernment organizations;CONSERVATION-BIOLOGY;DECISION-MAKING,Colombia;Costa Rica,2-s2.0-70350507475
,,,4,WOS:000404822900021,2017,Biodegradation of phenol in treated water from the oil industry to re-use in agricultural crops,"Oil exploitation and the usage of its derivatives have undeniably contributed to the technological advance worldwide. This industrial activity, however, generates several by-products that can threaten environmental sustainability. Seawage, for example, can contain organic pollutants and heavy metals; therefore, its deposition must be preceded by adequate water treatment. In this study, we isolated, characterized, and molecularly identified eight bacteria on the basis of their capability to degrade phenol. First, we determined the rates of bacterial growth and phenol degradation using different concentrations of the aromatic hydrocarbon (500, 800 and 1200 mg / L), and then used sequential statistical designs to select optimal conditions for its degradation. Results showed that all isolated strains were capable of degrading phenol as the sole carbon source; the degradation kinetics and phenol tolerance, however, widely varied among strains. We chose the strain Pseudomonas sp. Sps1 for further studies due to its remarkable tolerance and capability to degrade phenol. By using a Plackett Burman design, followed by a fractionated factorial design in which several carbon, nitrogen, and phosphorus sources were evaluated, and phenol degradation was used as the response variable, we found optimal conditions for phenol degradation by Sps1. Finally, we compared phenol degradation in seawage by the use or not of the optimal conditions established by the statistical methods. Results showed that biostimulation dramatically increased phenol degradation compared with the control. In conclusion, we found that bioaugmentation with the native bacteria Sps1 and a statistically-based biostimulation approach provided an economically and environmentally friendly alternative for the removal of pollutants from oil industry sewage.",Article,"Pardo-Diaz, S.; Rojas-Tapias, D.; Roldan, F.; Brandao, P.; Almansa-Manrique, E.",oil extraction; hydrocarbon; native bacteria; nutrients; Colombia,oil extraction;hydrocarbon;native bacteria;nutrients;Colombia;RESPONSE-SURFACE METHODOLOGY;STATISTICAL OPTIMIZATION;PSEUDOMONAS-PUTIDA;ACTIVATED-SLUDGE;DEGRADATION;HYDROCARBONS;STRAIN;BACTERIUM;SELECTION;TOXICITY,Colombia,
